Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
17410.39882694953,4.170563700000001,-499.91147,0.0002777285936143663,21.880373000000002
17411.398826997032,4.1690674,-499.91147,0.139142299279107,21.974894
17412.39882704453,4.1683984,-499.99033,0.2780046466912164,22.187559
17413.39882709202,4.1680044999999994,-499.93118,0.4168671583218045,21.809484
17414.398827139517,4.167571499999999,-499.91147,0.5557294070943197,22.148178
17415.39882718702,4.1672173,-499.83261,0.6945917215983074,22.053658
17416.39882723452,4.166862999999999,-499.91147,0.8334551312934029,21.833115
17417.39882728201,4.166547799999999,-499.89175,0.972318311106364,21.864620000000002
17418.39882732951,4.1662722,-499.99033,1.111181129404704,22.077288
17419.39882737701,4.165957499999999,-499.87204,1.250044571974013,21.872498
17420.39882742451,4.1657605,-499.97060999999997,1.388906776970757,22.045782
17421.398827472,4.1654458,-499.91147,1.527770756225586,21.943386
17422.3988275195,4.1652489,-499.89175,1.666632577887641,21.896128
17423.398827566998,4.164855,-500.14800999999994,1.8054945747205948,22.195435999999997
17424.3988276145,4.1646976,-499.91147,1.944356045854357,21.777977
17425.39882766199,4.1645403,-499.87204,2.083219696553548,22.345093
17426.39882770949,4.1643434,-499.89175,2.222081310085721,22.045782
17427.39882775699,4.164186,-499.93118,2.360944007839627,22.014277
17428.39882780449,4.1640282,-499.9509,2.499805785675049,21.943386
17429.398827851983,4.1637526,-499.85233,2.638668341098362,21.88825
17430.398827899484,4.1635556000000005,-499.97060999999997,2.777530644565159,22.077288
17431.39882794698,4.1632409,-499.87204,2.916392959103055,21.880373000000002
17432.398827994482,4.1632013,-499.83261,3.055255361277263,21.896128
17433.39882804197,4.163044,-499.91147,3.1941176757812513,22.124548
17434.398828089466,4.1627684,-499.91147,3.332980012207032,22.211189
17435.398828136967,4.1626897000000005,-499.85233,3.471842896202936,22.006399
17436.39882818446,4.1624537,-499.93118,3.610704334530301,22.415981
17437.39882823196,4.162375,-499.97060999999997,3.749566922844781,22.085165
17438.39882827946,4.1622171,-499.99033,3.888430376434326,22.085165
17439.39882832696,4.1619415,-499.91147,4.027292548522951,22.266325
17440.39882837445,4.1618629,-499.91147,4.166154622039795,22.219067000000003
17441.398828421952,4.1616659,-499.87204,4.30501669559055,22.140301
17442.39882846945,4.1615872000000005,-499.89175,4.443877279561361,22.408104
17443.39882851695,4.1613512,-499.8129,4.582737173614502,22.014277
17444.39882856444,4.1611937999999995,-499.87204,4.721596563805473,22.195435999999997
17445.398828611942,4.1611543,-499.87204,4.860455472005208,22.337215
17446.39882865944,4.1609182,-499.89175,4.999315223693848,21.998522
17447.39882870694,4.1608,-499.9509,5.138174274342854,22.030029000000003
17448.39882875443,4.1605639,-499.93118,5.277034781680637,22.061535
17449.39882880193,4.1604457,-499.85233,5.41589521235148,22.124548
17450.398828849433,4.160367,-500.01004000000006,5.554755073479545,22.337215
17451.39882889693,4.1601701,-499.93118,5.693614562293158,22.132423
17452.39882894442,4.1600914,-499.89175,5.832475299665662,22.022152
17453.398828991918,4.1598945,-499.93118,5.971335434604219,22.140301
17454.39882903942,4.1598158,-499.97060999999997,6.11019526289198,22.195435999999997
17455.39882908692,4.1596189,-499.8129,6.24905562786526,22.368723000000003
17456.39882913441,4.1596975,-499.93118,6.387916628044975,22.329338
17457.398829181908,4.1594615,-499.97060999999997,6.526776127777097,22.455364000000003
17458.39882922941,4.1592646,-499.85233,6.665635605655244,22.266325
17459.39882927691,4.1591072,-499.85233,6.80449456866794,22.400229
17460.3988293244,4.158989,-499.87204,6.943352491251626,22.195435999999997
17461.3988293719,4.1588316,-499.9509,7.0822126481458865,22.360846
17462.3988294194,4.158792,-499.93118,7.221072268320718,22.274202
17463.3988294669,4.1585951,-499.85233,7.359931954210067,22.061535
17464.39882951439,4.1584773,-499.89175,7.498792505425345,22.211189
17465.39882956189,4.158398600000001,-499.83261,7.637652749837238,22.234821
17466.39882960939,4.1582804,-499.89175,7.77651267671373,22.061535
17467.39882965689,4.1582017,-499.91147,7.915372121666801,22.108795
17468.398829704383,4.1579261,-499.83261,8.054230613759358,22.274202
17469.39882975188,4.1579652000000005,-499.97060999999997,8.193090135379366,22.408104
17470.398829799382,4.1578078000000005,-499.89175,8.331949755554199,22.573513000000002
17471.398829846883,4.1577291,-499.89175,8.470811620992023,22.156054
17472.398829894366,4.1575322,-499.89175,8.609671777886284,22.077288
17473.398829941867,4.157493100000001,-499.87204,8.748532318081326,22.337215
17474.398829989368,4.1573749,-499.89175,8.887391149698892,22.313587
17475.39883003687,4.1572566,-499.73404000000005,9.026251854163275,22.48687
17476.39883008436,4.157177900000001,-500.06920999999994,9.165112679138183,22.439611
17477.39883013186,4.156981,-499.85233,9.303973558875187,22.455364000000003
17478.39883017936,4.1568236,-499.83261,9.442834887627496,22.447489
17479.39883022686,4.1568236,-499.85233,9.581695449676511,22.360846
17480.39883027435,4.1566267,-499.85233,9.720555058915881,22.25845
17481.39883032185,4.156587600000001,-499.89175,9.859414668070476,22.148178
17482.39883036935,4.1565089,-499.91147,9.998273850216336,22.345093
17483.39883041685,4.1564693,-499.93118,10.1371335689799,22.408104
17484.398830464343,4.1562333,-499.87204,10.2759944487169,22.542006
17485.39883051184,4.1560364000000005,-499.89175,10.4148545179579,22.542006
17486.39883055934,4.1560364000000005,-499.91147,10.553713415323891,22.5105
17487.398830606842,4.1559181,-499.93118,10.69257315604316,22.400229
17488.398830654332,4.1558394,-499.87204,10.831432710486519,22.187559
17489.39883070183,4.1555637999999995,-499.83261,10.970292965833881,22.431734
17490.39883074933,4.1556425,-499.89175,11.10915252029419,22.549882999999998
17491.398830796817,4.155406500000001,-499.93118,11.248012874264191,22.518376999999997
17492.39883084432,4.155406500000001,-499.93118,11.38687263680352,22.360846
17493.39883089182,4.1552491,-499.97060999999997,11.525734064178472,22.471117
17494.398830939317,4.1550913000000005,-499.93118,11.66459494391547,22.502625
17495.398830986807,4.1550522,-499.87204,11.80345480506049,22.644403
17496.39883103431,4.1548944,-499.97060999999997,11.942316331007222,22.549882999999998
17497.39883108181,4.1548553,-499.9509,12.0811779226176,22.408104
17498.39883112931,4.154737,-499.87204,12.22003667758518,22.345093
17499.3988311768,4.154737,-499.97060999999997,12.358895038248699,22.321463
17500.3988312243,4.1545401,-499.9509,12.497754822625051,22.368723000000003
17501.3988312718,4.154501,-499.93118,12.636614541388619,22.289957
17502.3988313193,4.154304,-500.06920999999994,12.77547479682075,22.542006
17503.39883136679,4.1542645,-499.8129,12.91433573126899,22.502625
17504.398831414288,4.1541071,-499.89175,13.0531967533705,22.770428
17505.39883146179,4.1541858,-499.91147,13.19205746883816,22.644403
17506.39883150929,4.1539497,-499.9509,13.33091871003893,22.48687
17507.398831556784,4.1538711,-499.85233,13.46977954596625,22.439611
17508.39883160428,4.1536741,-499.93118,13.608640896555581,22.368723000000003
17509.398831651783,4.1536741,-499.91147,13.74750219248454,22.557760000000002
17510.398831699284,4.1535559,-499.87204,13.88636390455458,22.431734
17511.398831746767,4.153516799999999,-499.93118,14.02522369993422,22.352968
17512.398831794268,4.153319799999999,-499.97060999999997,14.164083791080051,22.746798000000002
17513.39883184177,4.1531229,-499.89175,14.30294464887831,22.660154000000002
17514.398831889266,4.1531625,-499.87204,14.441805452033151,22.794056
17515.39883193676,4.1530442,-499.97060999999997,14.58066605794271,22.219067000000003
17516.39883198426,4.1529655,-499.97060999999997,14.719526718580461,22.156054
17517.39883203176,4.1529655,-499.97060999999997,14.85838804731581,22.683784
17518.39883207926,4.152729,-499.9509,14.99724899280124,22.864946
17519.39883212675,4.1527686,-499.93118,15.136108076341419,22.707415
17520.39883217425,4.1526504,-499.89175,15.27496870415582,22.857070999999998
17521.398832221752,4.1525326,-499.93118,15.413828346218528,22.478994
17522.39883226925,4.152414299999999,-499.89175,15.55268834976196,22.542006
17523.39883231674,4.152414299999999,-499.87204,15.69155008380466,22.329338
17524.39883236424,4.1522174,-499.89175,15.8304102953932,22.715292
17525.39883241174,4.1521387,-499.93118,15.969269335038929,22.770428
17526.39883245924,4.15206,-499.83261,16.10813099234687,22.880699
17527.39883250673,4.1519813999999995,-499.87204,16.246991444854743,22.809811
17528.39883255423,4.1518631,-500.01004000000006,16.385852423044838,22.699539
17529.39883260173,4.1517843999999995,-499.93118,16.52471276613023,22.76255
17530.398832649233,4.1516271,-499.83261,16.66357489446004,22.754675
17531.39883269672,4.1515875,-499.79318,16.80243592748006,22.817686
17532.39883274422,4.1516271,-499.87204,16.94129596389771,22.76255
17533.398832791718,4.1514301,-499.83261,17.08015589074029,22.990973
17534.39883283922,4.1514301,-499.91147,17.219015872378883,22.904329
17535.39883288671,4.1511936,-499.87204,17.357876806810168,22.73892
17536.39883293421,4.1511545,-499.87204,17.49673844221327,22.597141
17537.398832981708,4.1511149,-499.85233,17.63559923429701,22.841316
17538.39883302921,4.1509576,-499.87204,17.774460552046033,22.794056
17539.3988330767,4.1508392999999995,-499.97060999999997,17.91332055555555,22.628649
17540.3988331242,4.1508002,-499.91147,18.05218215815226,22.660154000000002
17541.3988331717,4.150642899999999,-499.91147,18.19104251217312,22.801933
17542.39883321919,4.1505637,-499.91147,18.329902351396353,22.723167
17543.39883326669,4.150603299999999,-499.93118,18.46876274917602,22.809811
17544.39883331419,4.1502881,-499.91147,18.60762331124199,22.683784
17545.39883336169,4.1504064,-499.9509,18.74648301905314,22.801933
17546.39883340918,4.1502881,-499.93118,18.885342891167532,22.715292
17547.398833456682,4.1501703,-499.87204,19.02420233613756,22.691662
17548.398833504183,4.1501307,-499.87204,19.16306233973185,22.794056
17549.39883355168,4.1499733999999995,-499.9509,19.301921850450302,22.864946
17550.39883359917,4.1498551,-499.87204,19.44078230300903,22.880699
17551.39883364667,4.1498551,-499.87204,19.579643763190372,22.746798000000002
17552.39883369417,4.1497765,-499.8129,19.718503525763623,22.471117
17553.39883374167,4.1496582,-499.83261,19.857364569753013,22.644403
17554.39883378916,4.1496191,-499.6749,19.99622506607055,22.786179999999998
17555.39883383666,4.1494617,-499.97060999999997,20.13508547480265,22.825563
17556.39883388416,4.1494222,-499.87204,20.27394567550659,22.58139
17557.39883393166,4.1492252,-499.91147,20.41280605139838,22.699539
17558.39883397915,4.1491861000000005,-499.91147,20.55166690919664,22.959464999999998
17559.39883402665,4.1491466,-499.85233,20.690526124165853,22.801933
17560.39883407415,4.1490678999999995,-499.93118,20.829385963456897,22.786179999999998
17561.39883412165,4.1489496,-499.89175,20.96824616410997,22.73892
17562.39883416914,4.1487527,-499.8129,21.10710692337036,22.904329
17563.39883421664,4.1487527,-499.93118,21.24596812076145,23.006725
17564.398834264142,4.1487527,-499.83261,21.38482845291138,22.76255
17565.39883431164,4.1487136,-499.89175,21.52368881785075,22.935835
17566.39883435913,4.1485167,-499.9509,21.66254921568129,22.794056
17567.39883440663,4.148438,-499.93118,21.801410423973927,22.746798000000002
17568.398834454132,4.1483984,-499.9509,21.940271665089924,22.841316
17569.39883450163,4.1483197,-499.83261,22.07913142768012,22.841316
17570.39883454912,4.1481623999999995,-499.9509,22.21799196785821,22.644403
17571.398834596617,4.1481623999999995,-499.9509,22.35685278181288,22.888576999999998
17572.39883464412,4.1481623999999995,-499.8129,22.49571313581679,22.990973
17573.39883469162,4.147886799999999,-499.97060999999997,22.634574836951362,22.817686
17574.39883473911,4.1479263,-499.87204,22.77343601235284,23.187887
17575.39883478661,4.147886799999999,-499.89175,22.912296410183377,23.077614
17576.398834834108,4.1477294,-499.89175,23.051156523234052,23.014601000000003
17577.39883488161,4.1476898,-499.89175,23.19001757820977,23.109121
17578.3988349291,4.147572,-499.9509,23.32887723130968,22.825563
17579.3988349766,4.1474929,-499.85233,23.467738417646622,22.801933
17580.398835024098,4.1473751000000005,-499.93118,23.606599012569852,22.951588
17581.3988350716,4.1472964,-500.24661,23.745459519839805,23.053986
17582.398835119093,4.1472178,-499.93118,23.88431951248169,22.998848000000002
17583.39883516659,4.1470599,-499.87204,24.023179264068602,22.857070999999998
17584.39883521409,4.1470599,-499.91147,24.16203960717095,22.809811
17585.398835261592,4.146981200000001,-499.97060999999997,24.300899851650662,22.920084
17586.398835309083,4.1469026,-499.8129,24.43975996475219,22.935835
17587.398835356584,4.1469421,-499.85233,24.578620428229428,23.164257
17588.39883540408,4.1468239,-499.91147,24.71747996081881,22.660154000000002
17589.398835451582,4.1468239,-499.87204,24.85634150861952,22.809811
17590.39883549907,4.1466665,-499.89175,24.99520123831854,23.109121
17591.39883554657,4.1466665,-499.8129,25.13406032180785,23.282404
17592.39883559407,4.1464696000000005,-499.87204,25.27291914243909,23.148502
17593.39883564156,4.1463909,-499.89175,25.41177854353162,23.069736
17594.39883568906,4.146312200000001,-499.9509,25.55063872231377,22.589266000000002
17595.39883573656,4.1462331,-499.87204,25.689499372066923,22.951588
17596.39883578406,4.1461544,-499.91147,25.828360996602374,22.841316
17597.39883583155,4.1461153,-499.9509,25.96722256634182,22.951588
17598.398835879052,4.145997,-499.87204,26.106083862236858,23.116997
17599.39883592655,4.1459575,-499.91147,26.24494432581583,22.825563
17600.39883597405,4.145800100000001,-499.91147,26.383805030297168,22.864946
17601.39883602154,4.145761,-500.02975,26.52266512139214,22.927958
17602.398836069042,4.1456032,-499.89175,26.66152600111219,22.864946
17603.39883611654,4.1456428,-499.9509,26.80038831553141,22.935835
17604.39883616404,4.1456428,-499.87204,26.939248965233695,23.124874
17605.39883621153,4.1455245000000005,-499.91147,27.078109450683588,22.833441
17606.39883625903,4.1454067000000006,-499.93118,27.216969881405287,22.935835
17607.39883630653,4.1452885,-499.97060999999997,27.3558309035068,22.998848000000002
17608.39883635403,4.1452489,-499.89175,27.49469169555664,22.935835
17609.398836401517,4.1451311,-499.91147,27.633552619103323,23.053986
17610.398836449018,4.1450915,-499.89175,27.772412863599982,23.321789000000003
17611.39883649652,4.144934200000001,-499.89175,27.911273316192624,23.053986
17612.39883654402,4.1449733,-499.89175,28.050133757781968,22.920084
17613.39883659151,4.144737200000001,-499.87204,28.188994286973728,23.148502
17614.398836639008,4.144737200000001,-499.89175,28.327854082421194,22.959464999999998
17615.39883668651,4.1446977,-499.91147,28.46671538926866,22.998848000000002
17616.39883673401,4.1446586000000005,-499.89175,28.60557598417493,22.888576999999998
17617.3988367815,4.1444616000000005,-499.87204,28.744436874830452,22.951588
17618.398836828997,4.1444221,-499.91147,28.883296549801287,22.951588
17619.3988368765,4.144264700000001,-499.91147,29.02215664093017,22.825563
17620.398836924,4.144264700000001,-499.93118,29.161016381632482,22.983095000000002
17621.398836971493,4.1441469,-499.83261,29.299875596550827,22.927958
17622.39883701899,4.1442256,-499.9509,29.43873566577487,22.983095000000002
17623.398837066492,4.1440678,-499.89175,29.57759647976345,23.022478
