#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
28500 22259.47299228964 280.2547475922596
29000 22309.272724497892 300.1607579743711
29500 22189.995144236662 282.2444224202291
30000 22245.91200100241 309.4391316515964
30500 22277.641403544523 306.57849377128184
31000 22283.893986094572 313.5685523993875
31500 22217.833090174772 308.60699433127184
32000 22276.43725239096 299.05388667021384
32500 22248.574203837492 304.5754765092911
33000 22310.865145075895 308.1913261944572
33500 22328.90323673544 296.6405082057659
34000 22319.55499492941 302.9721815483335
34500 22311.625830042936 294.5146554395687
35000 22126.363786089994 324.4414345566297
35500 22093.69114338217 310.409825017526
36000 22203.439304698088 295.770095873024
36500 22274.81944214163 309.38503596694386
37000 22214.310238230802 317.6327379069174
37500 22287.58309398947 292.0377439590873
38000 22257.199629176237 294.2850804631925
38500 22296.03002201376 295.5492823448794
39000 22178.570085871794 294.71969836089653
39500 22223.953537333586 296.5118400803081
40000 22110.776361811735 307.60899027956907
40500 22094.774175990202 278.2332812235641
41000 22177.057143557646 281.08786118824435
41500 22241.79108177481 292.82875253814206
42000 22207.561838496305 304.28785068020346
42500 22381.543564189054 286.0799341289151
43000 22324.52655063925 297.41359336500983
43500 22277.46899067221 322.95038626387304
44000 22290.338093150236 325.381713180841
44500 22284.9819797164 322.68934517199096
45000 22205.843837130644 308.80159861284943
45500 22224.52906071005 299.2935748611202
46000 22266.04839931784 288.2411080478402
46500 22241.81866680441 311.63024469076424
47000 22260.08056865988 286.0520727235388
47500 22171.918482173063 306.08950482912365
48000 22212.781719554045 295.2996561684075
48500 22227.11530338583 274.59307471231426
49000 22156.73677479086 326.63399949293296
49500 22323.023252833464 305.5367325438397
50000 22397.893642771818 282.68026692068554
50500 22345.67128311453 298.73694753861434
51000 22246.362259257414 296.9933442424056
51500 22186.535077441313 313.55636146999103
52000 22254.46875416098 317.3999337110501
52500 22392.640047419645 285.07835039979204
53000 22368.012508738615 292.4224216018714
53500 22343.578707087614 299.11268850420225
54000 22263.06929479895 323.4752220456529
54500 22283.966163981535 304.0025278603654
55000 22153.481928217985 297.24489793748836
55500 22267.53169857321 307.46365036976204
56000 22231.00756489096 303.85473474505346
56500 22148.133837092497 296.31813697626285
